4K频道,#genre#
CGTN纪录[1920*1080],http://61.150.160.70:6610/000000002000/201500000011/index.m3u8?zte_offset=30&ispcode=2&starttime=
CGTN西语[1920*1080],http://61.150.160.70:6610/000000002000/201500000410/index.m3u8?zte_offset=30&ispcode=2&starttime=
CGTN俄语[1920*1080],http://61.150.160.70:6610/000000002000/201500000408/index.m3u8?zte_offset=30&ispcode=2&starttime=
世界地理[1920*1080],http://61.150.160.70:6610/000000002000/201500000524/index.m3u8?zte_offset=30&ispcode=2&starttime=
中学生[1024*576],http://61.150.160.70:6610/000000002000/201500000561/index.m3u8?zte_offset=30&ispcode=2&starttime=
兵器科技[1920*1080],http://61.150.160.70:6610/000000002000/201500000526/index.m3u8?zte_offset=30&ispcode=2&starttime=
卫生健康[1920*1080],http://61.150.160.70:6610/000000002000/201500000641/index.m3u8?zte_offset=30&ispcode=2&starttime=
央视台球[1920*1080],http://61.150.160.70:6610/000000002000/201500000525/index.m3u8?zte_offset=30&ispcode=2&starttime=
女性时尚[1920*1080],http://61.150.160.70:6610/000000002000/201500000522/index.m3u8?zte_offset=30&ispcode=2&starttime=
怀旧剧场[1920*1080],http://61.150.160.70:6610/000000002000/201500000521/index.m3u8?zte_offset=30&ispcode=2&starttime=
文化精品[1920*1080],http://61.150.160.70:6610/000000002000/201500000523/index.m3u8?zte_offset=30&ispcode=2&starttime=
电视指南[1920*1080],http://61.150.160.70:6610/000000002000/201500000527/index.m3u8?zte_offset=30&ispcode=2&starttime=
第一剧场[1920*1080],http://61.150.160.70:6610/000000002000/201500000517/index.m3u8?zte_offset=30&ispcode=2&starttime=
老故事[1280*720],http://61.150.160.70:6610/000000002000/201500000398/index.m3u8?zte_offset=30&ispcode=2&starttime=
风云剧场[1920*1080],http://61.150.160.70:6610/000000002000/201500000518/index.m3u8?zte_offset=30&ispcode=2&starttime=
风云足球[1920*1080],http://61.150.160.70:6610/000000002000/201500000520/index.m3u8?zte_offset=30&ispcode=2&starttime=
风云音乐[1920*1080],http://61.150.160.70:6610/000000002000/201500000519/index.m3u8?zte_offset=30&ispcode=2&starttime=
高尔夫网球[1920*1080],http://61.150.160.70:6610/000000002000/201500000528/index.m3u8?zte_offset=30&ispcode=2&starttime=

卫视,#genre#
