4K频道,#genre#
张家界公共,http://192.168.0.1:4022/rtp/239.76.252.235:9000?fcc=124.232.149.47:15970
张家界新闻综合,http://192.168.0.1:4022/rtp/239.76.252.234:9000?fcc=124.232.149.47:15970
怀化新闻综合,http://192.168.0.1:4022/rtp/239.76.255.12:9000?fcc=124.232.149.47:15970
株洲新闻综合,http://192.168.0.1:4022/rtp/239.76.255.1:9000?fcc=124.232.149.47:15970
永州新闻综合,http://192.168.0.1:4022/rtp/239.76.255.23:9000?fcc=124.232.149.47:15970
永州经济生活,http://192.168.0.1:4022/rtp/239.76.255.24:9000?fcc=124.232.149.47:15970
浏阳新闻,http://192.168.0.1:4022/rtp/239.76.255.6:9000?fcc=124.232.149.47:15970
湘潭新闻综合,http://192.168.0.1:4022/rtp/239.76.255.4:9000?fcc=124.232.149.47:15970
湘西公共,http://192.168.0.1:4022/rtp/239.76.252.210:9000?fcc=124.232.149.47:15970
湘西文化旅游,http://192.168.0.1:4022/rtp/239.76.252.209:9000?fcc=124.232.149.47:15970
湘西新闻综合,http://192.168.0.1:4022/rtp/239.76.252.208:9000?fcc=124.232.149.47:15970
益阳公共,http://192.168.0.1:4022/rtp/239.76.255.16:9000?fcc=124.232.149.47:15970
益阳新闻综合,http://192.168.0.1:4022/rtp/239.76.255.15:9000?fcc=124.232.149.47:15970
衡阳文旅法治,http://192.168.0.1:4022/rtp/239.76.255.14:9000?fcc=124.232.149.47:15970
衡阳新闻综合,http://192.168.0.1:4022/rtp/239.76.255.13:9000?fcc=124.232.149.47:15970
邵阳文旅民生,http://192.168.0.1:4022/rtp/239.76.255.22:9000?fcc=124.232.149.47:15970
邵阳新闻,http://192.168.0.1:4022/rtp/239.76.255.21:9000?fcc=124.232.149.47:15970
邵阳新闻综合,http://192.168.0.1:4022/rtp/239.76.255.21:9000?fcc=124.232.149.47:15970
郴州文旅,http://192.168.0.1:4022/rtp/239.76.255.39:9000?fcc=124.232.149.47:15970
郴州综合,http://192.168.0.1:4022/rtp/239.76.253.75:9000?fcc=124.232.149.47:15970

数字频道,#genre#
CHC动作电影,http://192.168.0.1:4022/rtp/239.76.252.243:9000?fcc=124.232.149.47:15970
CHC影迷电影,http://192.168.0.1:4022/rtp/239.76.252.242:9000?fcc=124.232.149.47:15970
CHC家庭影院,http://192.168.0.1:4022/rtp/239.76.252.241:9000?fcc=124.232.149.47:15970
北京纪实科教,http://192.168.0.1:4022/rtp/239.76.254.65:9000?fcc=124.232.149.47:15970
都市剧场,http://192.168.0.1:4022/rtp/239.76.254.74:9000?fcc=124.232.149.47:15970
金色学堂,http://192.168.0.1:4022/rtp/239.76.254.75:9000?fcc=124.232.149.47:15970
东方财经,http://192.168.0.1:4022/rtp/239.76.254.69:9000?fcc=124.232.149.47:15970
法治天地,http://192.168.0.1:4022/rtp/239.76.254.67:9000?fcc=124.232.149.47:15970
乐游,http://192.168.0.1:4022/rtp/239.76.254.68:9000?fcc=124.232.149.47:15970
游戏风云,http://192.168.0.1:4022/rtp/239.76.254.71:9000?fcc=124.232.149.47:15970
生活时尚,http://192.168.0.1:4022/rtp/239.76.254.73:9000?fcc=124.232.149.47:15970
中国交通,http://192.168.0.1:4022/rtp/239.76.254.100:9000?fcc=124.232.149.47:15970
中国天气,http://192.168.0.1:4022/rtp/239.76.253.61:9000?fcc=124.232.149.47:15970
优漫卡通,http://192.168.0.1:4022/rtp/239.76.252.112:9000?fcc=124.232.149.47:15970
动漫秀场,http://192.168.0.1:4022/rtp/239.76.254.70:9000?fcc=124.232.149.47:15970
卡酷少儿,http://192.168.0.1:4022/rtp/239.76.254.81:9000?fcc=124.232.149.47:15970
嘉佳卡通,http://192.168.0.1:4022/rtp/239.76.252.230:9000?fcc=124.232.149.47:15970
新动漫,http://192.168.0.1:4022/rtp/239.76.252.244:9000?fcc=124.232.149.47:15970
武术世界,http://192.168.0.1:4022/rtp/239.76.252.181:9000?fcc=124.232.149.47:15970
河南梨园,http://192.168.0.1:4022/rtp/239.76.252.179:9000?fcc=124.232.149.47:15970
环球奇观,http://192.168.0.1:4022/rtp/239.76.254.26:9000?fcc=124.232.149.47:15970
环球旅游,http://192.168.0.1:4022/rtp/239.76.254.46:9000?fcc=124.232.149.47:15970
生态环境,http://192.168.0.1:4022/rtp/239.76.254.201:9000?fcc=124.232.149.47:15970
财富天下,http://192.168.0.1:4022/rtp/239.76.253.18:9000?fcc=124.232.149.47:15970
书画,http://192.168.0.1:4022/rtp/239.76.253.77:9000?fcc=124.232.149.47:15970
优优宝贝,http://192.168.0.1:4022/rtp/239.76.253.13:9000?fcc=124.232.149.47:15970
四海钓鱼,http://192.168.0.1:4022/rtp/239.76.253.4:9000?fcc=124.232.149.47:15970
快乐垂钓,http://192.168.0.1:4022/rtp/239.76.252.127:9000?fcc=124.232.149.47:15970
国学,http://192.168.0.1:4022/rtp/239.76.254.48:9000?fcc=124.232.149.47:15970
天元围棋,http://192.168.0.1:4022/rtp/239.76.253.2:9000?fcc=124.232.149.47:15970
收藏天下,http://192.168.0.1:4022/rtp/239.76.253.244:9000?fcc=124.232.149.47:15970
文物宝库,http://192.168.0.1:4022/rtp/239.76.252.180:9000?fcc=124.232.149.47:15970
活动直播3,http://192.168.0.1:4022/rtp/239.76.252.228:9000?fcc=124.232.149.47:15970

少儿频道,#genre#
金鹰卡通,http://192.168.0.1:4022/rtp/239.76.252.120:9000?fcc=124.232.149.47:15970
CCTV14-少儿,http://192.168.0.1:4022/rtp/239.76.253.164:9000?fcc=124.232.149.47:15970
动漫秀场,http://192.168.0.1:4022/rtp/239.76.254.70:9000?fcc=124.232.149.47:15970
卡酷少儿,http://192.168.0.1:4022/rtp/239.76.254.81:9000?fcc=124.232.149.47:15970
优漫卡通,http://192.168.0.1:4022/rtp/239.76.252.112:9000?fcc=124.232.149.47:15970
嘉佳卡通,http://192.168.0.1:4022/rtp/239.76.252.230:9000?fcc=124.232.149.47:15970
新动漫,http://192.168.0.1:4022/rtp/239.76.252.244:9000?fcc=124.232.149.47:15970
优优宝贝,http://192.168.0.1:4022/rtp/239.76.253.13:9000?fcc=124.232.149.47:15970
